Time(year-month-day h:m:s);Total solar irradiance (W/m2);Direct normal irradiance (W/m2);Global horizontal irradiance (W/m2);Air temperature  (°C) ;Atmosphere (hpa);Relative humidity (%);Power (MW);;
2019-01-01 14:45:00;1033,53 ;931,00 ;104,93 ;17,53 ;834,29 ;39,71 ;25,65 ;;
2019-01-01 15:00:00;994,40 ;931,80 ;101,33 ;18,07 ;834,01 ;37,77 ;24,76 ;;
2019-01-01 15:15:00;944,93 ;922,93 ;96,20 ;18,25 ;833,79 ;38,39 ;23,78 ;;
2019-01-01 15:30:00;901,13 ;920,53 ;91,20 ;18,37 ;833,59 ;38,55 ;22,80 ;;
2019-01-01 15:45:00;848,60 ;902,73 ;84,33 ;18,37 ;833,45 ;38,63 ;21,46 ;;
2019-01-01 16:00:00;795,53 ;876,27 ;76,47 ;18,09 ;833,19 ;39,36 ;20,09 ;;
2019-01-01 16:15:00;743,00 ;837,13 ;67,33 ;18,59 ;833,00 ;38,49 ;18,49 ;;
2019-01-01 16:30:00;683,60 ;778,80 ;57,20 ;18,91 ;833,02 ;37,86 ;16,65 ;;
2019-01-01 16:45:00;630,93 ;542,73 ;114,07 ;18,64 ;833,05 ;38,57 ;14,85 ;;
2019-01-01 17:00:00;571,93 ;17,13 ;256,00 ;18,41 ;833,02 ;39,21 ;12,83 ;;
2019-01-01 17:15:00;511,80 ;25,73 ;205,80 ;18,37 ;833,10 ;39,32 ;10,85 ;;
2019-01-01 17:30:00;425,00 ;3,87 ;155,73 ;18,11 ;833,07 ;39,20 ;8,46 ;;
2019-01-01 17:45:00;267,07 ;0,13 ;93,93 ;18,17 ;833,30 ;38,89 ;4,30 ;;
2019-01-01 18:00:00;124,00 ;1,67 ;42,87 ;17,63 ;833,37 ;40,22 ;1,90 ;;
2019-01-01 18:15:00;44,07 ;1,13 ;11,40 ;16,69 ;833,30 ;43,23 ;0,92 ;;
2019-01-01 18:30:00;19,60 ;0,00 ;3,40 ;16,43 ;833,47 ;43,44 ;0,25 ;;
2019-01-01 18:45:00;0,00 ;0,00 ;0,00 ;15,76 ;833,50 ;44,98 ;0,00 ;;
2019-01-01 19:00:00;0,00 ;0,00 ;0,00 ;15,64 ;833,67 ;45,56 ;0,00 ;;
2019-01-01 19:15:00;0,00 ;0,00 ;0,00 ;15,71 ;833,75 ;42,40 ;0,00 ;;
2019-01-01 19:30:00;0,00 ;0,00 ;0,00 ;15,55 ;833,89 ;40,71 ;0,00 ;;
2019-01-01 19:45:00;0,00 ;0,00 ;0,00 ;15,36 ;834,01 ;39,29 ;0,00 ;;
2019-01-01 20:00:00;0,00 ;0,00 ;0,00 ;15,15 ;834,14 ;38,87 ;0,00 ;;
2019-01-01 20:15:00;0,00 ;0,00 ;0,00 ;15,25 ;834,30 ;38,41 ;0,00 ;;
2019-01-01 20:30:00;0,00 ;0,00 ;0,00 ;15,45 ;834,39 ;38,55 ;0,00 ;;
2019-01-01 20:45:00;0,00 ;0,00 ;0,00 ;15,37 ;834,51 ;38,41 ;0,00 ;;
2019-01-01 21:00:00;0,00 ;0,00 ;0,00 ;15,04 ;834,64 ;38,80 ;0,00 ;;
2019-01-01 21:15:00;0,00 ;0,00 ;0,00 ;14,75 ;834,80 ;38,40 ;0,00 ;;
2019-01-01 21:30:00;0,00 ;0,00 ;0,00 ;14,75 ;834,93 ;37,03 ;0,00 ;;
2019-01-01 21:45:00;0,00 ;0,00 ;0,00 ;14,63 ;835,15 ;37,11 ;0,00 ;;
2019-01-01 22:00:00;0,00 ;0,00 ;0,00 ;14,49 ;835,33 ;36,71 ;0,00 ;;
2019-01-01 22:15:00;0,00 ;0,00 ;0,00 ;14,79 ;835,50 ;35,13 ;0,00 ;;
2019-01-01 22:30:00;0,00 ;0,00 ;0,00 ;14,20 ;835,57 ;36,73 ;0,00 ;;
2019-01-01 22:45:00;0,00 ;0,00 ;0,00 ;14,31 ;835,61 ;36,57 ;0,00 ;;
2019-01-01 23:00:00;0,00 ;0,00 ;0,00 ;13,91 ;835,72 ;38,02 ;0,00 ;;
2019-01-01 23:15:00;0,00 ;0,00 ;0,00 ;13,73 ;835,85 ;38,94 ;0,00 ;;
2019-01-01 23:30:00;0,00 ;0,00 ;0,00 ;14,41 ;835,97 ;37,73 ;0,00 ;;
2019-01-01 23:45:00;0,00 ;0,00 ;0,00 ;14,41 ;835,95 ;38,68 ;0,00 ;;
2019-01-02 00:00:00;0,00 ;0,00 ;0,00 ;14,23 ;836,00 ;40,61 ;0,00 ;;
2019-01-02 00:15:00;0,00 ;0,00 ;0,00 ;14,14 ;836,05 ;42,43 ;0,00 ;;
2019-01-02 00:30:00;0,00 ;0,00 ;0,00 ;13,96 ;836,21 ;43,92 ;0,00 ;;
2019-01-02 00:45:00;0,00 ;0,00 ;0,00 ;13,63 ;836,30 ;44,99 ;0,00 ;;
2019-01-02 01:00:00;0,00 ;0,00 ;0,00 ;13,10 ;836,41 ;47,15 ;0,00 ;;
2019-01-02 01:15:00;0,00 ;0,00 ;0,00 ;12,87 ;836,50 ;48,20 ;0,00 ;;
2019-01-02 01:30:00;0,00 ;0,00 ;0,00 ;12,69 ;836,50 ;49,20 ;0,00 ;;
2019-01-02 01:45:00;0,00 ;0,00 ;0,00 ;12,67 ;836,50 ;50,17 ;0,00 ;;
2019-01-02 02:00:00;0,00 ;0,00 ;0,00 ;12,74 ;836,61 ;50,73 ;0,00 ;;
2019-01-02 02:15:00;0,00 ;0,00 ;0,00 ;12,39 ;836,59 ;52,59 ;0,00 ;;
2019-01-02 02:30:00;0,00 ;0,00 ;0,00 ;12,31 ;836,52 ;53,39 ;0,00 ;;
2019-01-02 02:45:00;0,00 ;0,00 ;0,00 ;12,17 ;836,55 ;54,09 ;0,00 ;;
2019-01-02 03:00:00;0,00 ;0,00 ;0,00 ;11,99 ;836,61 ;54,83 ;0,00 ;;
2019-01-02 03:15:00;0,00 ;0,00 ;0,00 ;11,74 ;836,70 ;56,35 ;0,00 ;;
2019-01-02 03:30:00;0,00 ;0,00 ;0,00 ;11,54 ;836,72 ;56,91 ;0,00 ;;
2019-01-02 03:45:00;0,00 ;0,00 ;0,00 ;11,29 ;836,85 ;57,84 ;0,00 ;;
2019-01-02 04:00:00;0,00 ;0,00 ;0,00 ;10,77 ;836,79 ;60,06 ;0,00 ;;
2019-01-02 04:15:00;0,00 ;0,00 ;0,00 ;10,59 ;836,75 ;61,29 ;0,00 ;;
2019-01-02 04:30:00;0,00 ;0,00 ;0,00 ;10,79 ;836,91 ;60,97 ;0,00 ;;
2019-01-02 04:45:00;0,00 ;0,00 ;0,00 ;11,07 ;836,95 ;60,65 ;0,00 ;;
2019-01-02 05:00:00;0,00 ;0,00 ;0,00 ;10,75 ;836,97 ;61,69 ;0,00 ;;
2019-01-02 05:15:00;0,00 ;0,00 ;0,00 ;10,61 ;836,95 ;61,09 ;0,00 ;;
2019-01-02 05:30:00;0,00 ;0,00 ;0,00 ;10,02 ;836,93 ;62,85 ;0,00 ;;
2019-01-02 05:45:00;0,00 ;0,00 ;0,00 ;10,11 ;836,95 ;63,98 ;0,00 ;;
2019-01-02 06:00:00;0,00 ;0,00 ;0,00 ;10,13 ;837,05 ;64,94 ;0,00 ;;
2019-01-02 06:15:00;0,00 ;0,00 ;0,00 ;10,09 ;837,05 ;65,73 ;0,00 ;;
2019-01-02 06:30:00;0,00 ;0,00 ;0,00 ;9,99 ;837,25 ;66,28 ;0,00 ;;
2019-01-02 06:45:00;0,00 ;0,00 ;0,00 ;9,87 ;837,31 ;67,08 ;0,00 ;;
2019-01-02 07:00:00;0,00 ;0,00 ;0,00 ;9,73 ;837,53 ;67,49 ;0,00 ;;
2019-01-02 07:15:00;0,00 ;0,00 ;0,00 ;9,47 ;837,65 ;68,27 ;0,00 ;;
2019-01-02 07:30:00;0,00 ;0,00 ;0,00 ;9,29 ;837,77 ;69,33 ;0,00 ;;
2019-01-02 07:45:00;0,00 ;0,00 ;0,00 ;9,27 ;837,91 ;70,30 ;0,00 ;;
2019-01-02 08:00:00;0,00 ;0,00 ;0,00 ;9,32 ;838,19 ;70,85 ;0,00 ;;
2019-01-02 08:15:00;3,67 ;0,53 ;0,93 ;9,29 ;838,41 ;71,17 ;0,06 ;;
2019-01-02 08:30:00;48,93 ;13,27 ;16,13 ;9,18 ;838,58 ;72,47 ;0,71 ;;
2019-01-02 08:45:00;189,53 ;110,47 ;54,60 ;9,87 ;839,01 ;70,86 ;2,64 ;;
2019-01-02 09:00:00;286,93 ;6,80 ;99,73 ;10,41 ;839,27 ;68,92 ;4,70 ;;
2019-01-02 09:15:00;390,93 ;0,00 ;156,73 ;11,87 ;839,30 ;64,45 ;7,14 ;;
2019-01-02 09:30:00;478,47 ;232,47 ;134,73 ;12,26 ;839,37 ;62,81 ;9,62 ;;
2019-01-02 09:45:00;546,87 ;298,60 ;157,73 ;12,54 ;839,36 ;61,62 ;11,91 ;;
2019-01-02 10:00:00;604,20 ;425,20 ;144,53 ;11,70 ;839,49 ;64,85 ;14,00 ;;
2019-01-02 10:15:00;656,47 ;756,07 ;55,60 ;11,50 ;839,56 ;66,52 ;16,00 ;;
2019-01-02 10:30:00;705,53 ;807,67 ;65,20 ;11,55 ;839,73 ;66,85 ;17,79 ;;
2019-01-02 10:45:00;756,47 ;845,47 ;73,93 ;11,93 ;839,66 ;66,27 ;19,41 ;;
2019-01-02 11:00:00;820,07 ;875,27 ;81,93 ;12,12 ;839,58 ;65,84 ;20,88 ;;
2019-01-02 11:15:00;880,40 ;892,87 ;88,80 ;12,68 ;839,38 ;63,71 ;22,21 ;;
2019-01-02 11:30:00;926,13 ;905,47 ;94,60 ;13,26 ;839,25 ;61,15 ;23,32 ;;
2019-01-02 11:45:00;960,33 ;909,93 ;99,13 ;13,57 ;839,10 ;60,00 ;24,36 ;;
2019-01-02 12:00:00;983,73 ;906,60 ;102,33 ;13,73 ;838,93 ;59,67 ;25,19 ;;
2019-01-02 12:15:00;1009,40 ;906,93 ;105,33 ;14,31 ;838,58 ;58,08 ;25,82 ;;
2019-01-02 12:30:00;1029,73 ;903,13 ;107,33 ;14,51 ;838,35 ;57,29 ;26,39 ;;
2019-01-02 12:45:00;1049,60 ;907,27 ;109,80 ;14,80 ;838,14 ;55,23 ;26,85 ;;
2019-01-02 13:00:00;1063,20 ;912,80 ;111,73 ;15,53 ;837,67 ;50,55 ;27,21 ;;
2019-01-02 13:15:00;1070,20 ;926,13 ;113,80 ;15,79 ;837,26 ;47,48 ;27,40 ;;
2019-01-02 13:30:00;1090,00 ;1022,13 ;125,73 ;15,94 ;836,95 ;47,53 ;27,50 ;;
2019-01-02 13:45:00;1100,80 ;940,47 ;114,87 ;16,25 ;836,56 ;42,75 ;27,43 ;;
2019-01-02 14:00:00;1113,40 ;930,40 ;112,40 ;16,89 ;836,16 ;40,63 ;27,28 ;;
2019-01-02 14:15:00;1106,80 ;934,73 ;111,00 ;16,78 ;835,94 ;38,97 ;26,97 ;;
2019-01-02 14:30:00;1072,47 ;931,40 ;108,27 ;17,06 ;835,66 ;35,65 ;26,39 ;;
2019-01-02 14:45:00;1032,80 ;931,00 ;105,20 ;17,59 ;835,38 ;35,82 ;25,77 ;;
2019-01-02 15:00:00;994,07 ;932,27 ;101,67 ;17,65 ;835,09 ;34,58 ;24,90 ;;
2019-01-02 15:15:00;954,40 ;932,87 ;97,53 ;17,85 ;835,00 ;33,99 ;23,99 ;;
2019-01-02 15:30:00;909,60 ;933,20 ;92,67 ;18,25 ;834,81 ;33,23 ;23,07 ;;
2019-01-02 15:45:00;861,00 ;918,40 ;86,20 ;18,15 ;834,68 ;34,10 ;21,90 ;;
2019-01-02 16:00:00;812,20 ;895,73 ;78,53 ;18,31 ;834,53 ;34,02 ;20,49 ;;
2019-01-02 16:15:00;760,60 ;858,93 ;69,40 ;18,28 ;834,54 ;33,83 ;18,98 ;;
2019-01-02 16:30:00;706,73 ;808,73 ;59,67 ;18,44 ;834,41 ;34,29 ;17,17 ;;
2019-01-02 16:45:00;654,13 ;756,53 ;49,93 ;18,43 ;834,40 ;34,54 ;15,45 ;;
2019-01-02 17:00:00;603,73 ;12,87 ;271,40 ;18,65 ;834,33 ;33,07 ;13,61 ;;
2019-01-02 17:15:00;541,27 ;17,20 ;214,87 ;18,67 ;834,46 ;31,59 ;11,51 ;;
2019-01-02 17:30:00;454,47 ;1,60 ;163,07 ;18,71 ;834,38 ;31,40 ;9,14 ;;
2019-01-02 17:45:00;351,13 ;0,00 ;117,67 ;18,86 ;834,36 ;30,48 ;6,81 ;;
2019-01-02 18:00:00;244,73 ;0,00 ;74,20 ;18,95 ;834,40 ;30,24 ;4,50 ;;
2019-01-02 18:15:00;130,87 ;1,00 ;32,33 ;18,27 ;834,46 ;31,53 ;2,22 ;;
2019-01-02 18:30:00;22,00 ;0,00 ;3,13 ;17,68 ;834,53 ;32,45 ;0,34 ;;
2019-01-02 18:45:00;0,00 ;0,00 ;0,00 ;16,01 ;834,66 ;37,13 ;0,00 ;;
2019-01-02 19:00:00;0,00 ;0,00 ;0,00 ;15,06 ;834,79 ;40,41 ;0,00 ;;
2019-01-02 19:15:00;0,00 ;0,00 ;0,00 ;14,53 ;834,92 ;41,55 ;0,00 ;;
2019-01-02 19:30:00;0,00 ;0,00 ;0,00 ;14,17 ;834,93 ;42,19 ;0,00 ;;
2019-01-02 19:45:00;0,00 ;0,00 ;0,00 ;14,27 ;835,12 ;41,49 ;0,00 ;;
2019-01-02 20:00:00;0,00 ;0,00 ;0,00 ;14,30 ;835,36 ;41,27 ;0,00 ;;
2019-01-02 20:15:00;0,00 ;0,00 ;0,00 ;14,60 ;835,42 ;41,03 ;0,00 ;;
2019-01-02 20:30:00;0,00 ;0,00 ;0,00 ;14,57 ;835,55 ;41,82 ;0,00 ;;
2019-01-02 20:45:00;0,00 ;0,00 ;0,00 ;14,58 ;835,76 ;42,29 ;0,00 ;;
2019-01-02 21:00:00;0,00 ;0,00 ;0,00 ;14,51 ;835,89 ;42,75 ;0,00 ;;
2019-01-02 21:15:00;0,00 ;0,00 ;0,00 ;14,51 ;835,96 ;42,90 ;0,00 ;;
2019-01-02 21:30:00;0,00 ;0,00 ;0,00 ;14,63 ;835,88 ;43,15 ;0,00 ;;
2019-01-02 21:45:00;0,00 ;0,00 ;0,00 ;14,42 ;835,80 ;43,69 ;0,00 ;;
2019-01-02 22:00:00;0,00 ;0,00 ;0,00 ;13,89 ;835,75 ;45,87 ;0,00 ;;
2019-01-02 22:15:00;0,00 ;0,00 ;0,00 ;13,94 ;835,72 ;47,02 ;0,00 ;;
2019-01-02 22:30:00;0,00 ;0,00 ;0,00 ;14,14 ;835,71 ;46,66 ;0,00 ;;
2019-01-02 22:45:00;0,00 ;0,00 ;0,00 ;14,12 ;835,70 ;46,63 ;0,00 ;;
2019-01-02 23:00:00;0,00 ;0,00 ;0,00 ;13,97 ;835,73 ;47,09 ;0,00 ;;
2019-01-02 23:15:00;0,00 ;0,00 ;0,00 ;13,83 ;835,80 ;47,55 ;0,00 ;;
2019-01-02 23:30:00;0,00 ;0,00 ;0,00 ;13,73 ;835,92 ;48,26 ;0,00 ;;
2019-01-02 23:45:00;0,00 ;0,00 ;0,00 ;13,60 ;835,94 ;49,35 ;0,00 ;;
2019-01-03 00:00:00;0,00 ;0,00 ;0,00 ;13,47 ;836,02 ;50,73 ;0,00 ;;
2019-01-03 00:15:00;0,00 ;0,00 ;0,00 ;13,17 ;836,10 ;52,91 ;0,00 ;;
2019-01-03 00:30:00;0,00 ;0,00 ;0,00 ;13,07 ;836,01 ;53,88 ;0,00 ;;
2019-01-03 00:45:00;0,00 ;0,00 ;0,00 ;13,01 ;836,12 ;54,40 ;0,00 ;;
2019-01-03 01:00:00;0,00 ;0,00 ;0,00 ;13,23 ;836,13 ;53,83 ;0,00 ;;
2019-01-03 01:15:00;0,00 ;0,00 ;0,00 ;13,08 ;836,08 ;54,73 ;0,00 ;;
2019-01-03 01:30:00;0,00 ;0,00 ;0,00 ;12,81 ;836,09 ;56,81 ;0,00 ;;
2019-01-03 01:45:00;0,00 ;0,00 ;0,00 ;12,62 ;836,10 ;58,13 ;0,00 ;;
2019-01-03 02:00:00;0,00 ;0,00 ;0,00 ;12,63 ;836,22 ;58,91 ;0,00 ;;
2019-01-03 02:15:00;0,00 ;0,00 ;0,00 ;12,44 ;836,30 ;61,07 ;0,00 ;;
2019-01-03 02:30:00;0,00 ;0,00 ;0,00 ;12,23 ;836,37 ;62,99 ;0,00 ;;
2019-01-03 02:45:00;0,00 ;0,00 ;0,00 ;12,20 ;836,30 ;63,47 ;0,00 ;;
2019-01-03 03:00:00;0,00 ;0,00 ;0,00 ;12,15 ;836,33 ;64,26 ;0,00 ;;
2019-01-03 03:15:00;0,00 ;0,00 ;0,00 ;11,95 ;836,34 ;65,85 ;0,00 ;;
2019-01-03 03:30:00;0,00 ;0,00 ;0,00 ;11,93 ;836,37 ;66,11 ;0,00 ;;
2019-01-03 03:45:00;0,00 ;0,00 ;0,00 ;11,78 ;836,18 ;66,46 ;0,00 ;;
2019-01-03 04:00:00;0,00 ;0,00 ;0,00 ;11,57 ;835,98 ;66,94 ;0,00 ;;
2019-01-03 04:15:00;0,00 ;0,00 ;0,00 ;11,56 ;835,90 ;66,61 ;0,00 ;;
2019-01-03 04:30:00;0,00 ;0,00 ;0,00 ;11,64 ;835,83 ;65,85 ;0,00 ;;
2019-01-03 04:45:00;0,00 ;0,00 ;0,00 ;11,52 ;835,78 ;66,38 ;0,00 ;;
2019-01-03 05:00:00;0,00 ;0,00 ;0,00 ;11,55 ;835,70 ;66,45 ;0,00 ;;
2019-01-03 05:15:00;0,00 ;0,00 ;0,00 ;11,26 ;835,58 ;68,25 ;0,00 ;;
2019-01-03 05:30:00;0,00 ;0,00 ;0,00 ;11,11 ;835,71 ;69,67 ;0,00 ;;
2019-01-03 05:45:00;0,00 ;0,00 ;0,00 ;10,95 ;835,76 ;70,72 ;0,00 ;;
2019-01-03 06:00:00;0,00 ;0,00 ;0,00 ;10,87 ;835,73 ;71,07 ;0,00 ;;
2019-01-03 06:15:00;0,00 ;0,00 ;0,00 ;10,73 ;835,80 ;72,10 ;0,00 ;;
2019-01-03 06:30:00;0,00 ;0,00 ;0,00 ;10,50 ;835,83 ;73,29 ;0,00 ;;
2019-01-03 06:45:00;0,00 ;0,00 ;0,00 ;10,55 ;835,96 ;72,96 ;0,00 ;;
2019-01-03 07:00:00;0,00 ;0,00 ;0,00 ;10,56 ;835,96 ;73,31 ;0,00 ;;
2019-01-03 07:15:00;0,00 ;0,00 ;0,00 ;10,46 ;836,16 ;73,37 ;0,00 ;;
2019-01-03 07:30:00;0,00 ;0,00 ;0,00 ;10,35 ;836,13 ;74,12 ;0,00 ;;
2019-01-03 07:45:00;0,00 ;0,00 ;0,00 ;10,17 ;836,20 ;75,72 ;0,00 ;;
2019-01-03 08:00:00;0,00 ;0,00 ;0,00 ;9,39 ;836,41 ;79,87 ;0,00 ;;
2019-01-03 08:15:00;3,60 ;0,53 ;1,00 ;9,04 ;836,56 ;81,72 ;0,09 ;;
2019-01-03 08:30:00;49,80 ;33,00 ;17,20 ;9,40 ;836,79 ;81,52 ;0,76 ;;
2019-01-03 08:45:00;194,53 ;118,13 ;55,27 ;9,87 ;836,80 ;80,39 ;2,74 ;;
2019-01-03 09:00:00;292,87 ;7,73 ;100,87 ;10,61 ;836,83 ;77,14 ;4,77 ;;
2019-01-03 09:15:00;395,87 ;0,00 ;158,20 ;11,21 ;836,96 ;74,89 ;7,18 ;;
2019-01-03 09:30:00;489,20 ;227,33 ;140,20 ;11,62 ;836,91 ;72,38 ;9,76 ;;
2019-01-03 09:45:00;559,73 ;323,00 ;155,40 ;11,64 ;836,96 ;72,61 ;12,07 ;;
2019-01-03 10:00:00;617,20 ;527,67 ;113,27 ;11,75 ;837,00 ;72,45 ;14,22 ;;
2019-01-03 10:15:00;665,60 ;763,47 ;56,13 ;12,18 ;837,06 ;70,95 ;16,24 ;;
2019-01-03 10:30:00;716,07 ;817,40 ;66,00 ;12,82 ;837,01 ;68,32 ;18,11 ;;
2019-01-03 10:45:00;771,73 ;862,93 ;75,53 ;12,82 ;837,06 ;67,91 ;19,71 ;;
2019-01-03 11:00:00;828,47 ;885,93 ;82,93 ;12,97 ;837,10 ;67,61 ;21,12 ;;
2019-01-03 11:15:00;889,20 ;904,07 ;89,93 ;13,41 ;837,04 ;66,03 ;22,36 ;;
2019-01-03 11:30:00;939,40 ;920,00 ;96,27 ;13,75 ;836,91 ;64,12 ;23,59 ;;
2019-01-03 11:45:00;975,67 ;925,53 ;101,07 ;14,42 ;836,66 ;61,34 ;24,63 ;;
2019-01-03 12:00:00;1003,20 ;924,73 ;104,53 ;15,00 ;836,35 ;58,87 ;25,49 ;;
